;Rec;Lig;negatome;hippie_value;Rec_nRes;Lig_nRes;Rec_clustID;Lig_clustID;Inter_70;Inter_90;Rec_expr_70;Lig_expr_70;n_inter_res_rec_70;n_inter_res_lig_70;n_cont_comp_70;Rec_expr_90;Lig_expr_90;n_inter_res_rec_90;n_inter_res_lig_90;n_cont_comp_90;nPoses;nPoseClust;nHighPose_lRMSD_70;nMediumPose_lRMSD_70;nAcceptablePose_lRMSD_70;nIncorrectPose_lRMSD_70;nHighPose_lRMSD_90;nMediumPose_lRMSD_90;nAcceptablePose_lRMSD_90;nIncorrectPose_lRMSD_90;min_lRMSD_70;max_lRMSD_70;min_lRMSD_90;max_lRMSD_90;nHighPose_iRMSD_70;nMediumPose_iRMSD_70;nAcceptablePose_iRMSD_70;nIncorrectPose_iRMSD_70;nHighPose_iRMSD_90;nMediumPose_iRMSD_90;nAcceptablePose_iRMSD_90;nIncorrectPose_iRMSD_90;min_iRMSD_70;max_iRMSD_70;min_iRMSD_90;max_iRMSD_90;nHighPose_fnat_70;nMediumPose_fnat_70;nAcceptablePose_fnat_70;nIncorrectPose_fnat_70;nHighPose_fnat_90;nMediumPose_fnat_90;nAcceptablePose_fnat_90;nIncorrectPose_fnat_90;min_fnat_70;max_fnat_70;min_fnat_90;max_fnat_90;nOkPose_intcov_70;nBadPose_intcov_70;min_intcov_70;max_intcov_70;nOkPose_intcov_90;nBadPose_intcov_90;min_intcov_90;max_intcov_90;deformation_rmsd_lig_70;deformation_rmsd_rec_70;deformation_rmsd_lig_90;deformation_rmsd_rec_90;howmanyxray
158;1li1_C;1li1_C;False;0.78;224;224;938;938;True;True;1li1_0_1_C_1.pdb;1li1_0_1_F_1.pdb;14;15;275;1li1_0_1_C_1.pdb;1li1_0_1_F_1.pdb;14;15;275;43016;0;0;0;1;43015;0;0;1;43015;9.351180000000001;1035.24;9.351180000000001;1035.24;0;0;0;0;0;0;0;0;;;;;0;0;0;1;0;0;0;1;0.0;0.0;0.0;0.0;0;43016;0.5517241379310345;0.5517241379310345;0;43016;0.5517241379310345;0.5517241379310345;8.370332729060176e-15;0.1475898249930009;8.370332729060176e-15;0.1475898249930009;0
159;1kfu_S;1kfu_S;False;-1.0;184;184;2017;2017;True;True;1dvi_0_1_A_1.pdb;1dvi_0_1_B_1.pdb;51;50;1113;1dvi_0_1_A_1.pdb;1dvi_0_1_B_1.pdb;51;50;1113;47745;0;0;0;0;47745;0;0;0;47745;10.4161;1025.52;10.4161;1025.52;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;2.3129091851926735;2.283244870710566;2.3129091851926735;2.283244870710566;0
160;1li1_B;1m3d_F;False;-1.0;227;223;938;938;True;True;1li1_0_1_B_1.pdb;1li1_0_1_C_1.pdb;53;64;1399;1li1_0_1_B_1.pdb;1li1_0_1_C_1.pdb;53;64;1399;42103;0;0;0;1;42102;0;0;1;42102;9.94716;191.079;9.94716;191.079;0;0;0;0;0;0;0;0;;;;;0;0;0;1;0;0;0;1;0.013445378151260505;0.013445378151260505;0.013445378151260505;0.013445378151260505;0;42103;0.17419354838709677;0.17419354838709677;0;42103;0.17419354838709677;0.17419354838709677;1.8879251119495874e-14;0.48238009460745745;1.8879251119495874e-14;0.48238009460745745;0
161;1li1_B;1m3d_L;False;-1.0;227;222;938;938;True;True;1li1_0_1_B_1.pdb;1li1_0_1_C_1.pdb;53;64;1399;1li1_0_1_B_1.pdb;1li1_0_1_C_1.pdb;53;64;1399;39186;0;0;0;1;39185;0;0;1;39185;8.575660000000001;155.188;8.575660000000001;155.188;0;0;0;0;0;0;0;0;;;;;0;0;0;1;0;0;0;1;0.05042016806722689;0.05042016806722689;0.05042016806722689;0.05042016806722689;0;39186;0.1935483870967742;0.1935483870967742;0;39186;0.1935483870967742;0.1935483870967742;1.8879251119495874e-14;0.44862378092110594;1.8879251119495874e-14;0.44862378092110594;0
162;1li1_B;1m3d_C;False;-1.0;227;222;938;938;True;True;1li1_0_1_B_1.pdb;1li1_0_1_C_1.pdb;53;64;1399;1li1_0_1_B_1.pdb;1li1_0_1_C_1.pdb;53;64;1399;41362;0;0;0;3;41359;0;0;3;41359;6.37631;157.16899999999998;6.37631;157.16899999999998;0;0;0;3;0;0;0;3;4.557011011663195;6.66671643744464;4.557011011663195;6.66671643744464;0;0;1;2;0;0;1;2;0.08739495798319327;0.11932773109243698;0.08739495798319327;0.11932773109243698;0;41362;0.34838709677419355;0.4064516129032258;0;41362;0.34838709677419355;0.4064516129032258;1.8879251119495874e-14;0.5053899307838932;1.8879251119495874e-14;0.5053899307838932;0
163;1ibc_A;1ibc_B;False;-1.0;167;88;2346;2361;True;True;1ibc_0_1_A_2.pdb;1ibc_0_1_B_2.pdb;67;58;1544;1ibc_0_1_A_2.pdb;1ibc_0_1_B_2.pdb;67;58;1544;115818;0;0;0;0;115818;0;0;0;115818;16.6128;1009.24;16.6128;1009.24;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;1.0360597177272205e-14;8.131742225093471e-15;1.0360597177272205e-14;8.131742225093471e-15;0
164;1li1_F;1m3d_L;False;-1.0;225;222;938;938;True;True;1li1_0_1_F_1.pdb;1li1_0_1_C_1.pdb;15;14;275;1li1_0_1_F_1.pdb;1li1_0_1_C_1.pdb;15;14;275;42434;0;0;0;1;42433;0;0;1;42433;9.89816;1032.52;9.89816;1032.52;0;0;0;0;0;0;0;0;;;;;0;0;1;0;0;0;1;0;0.125;0.125;0.125;0.125;0;42434;0.4166666666666667;0.4166666666666667;0;42434;0.4166666666666667;0.4166666666666667;1.0215578520031093e-14;0.44862378092110716;1.0215578520031093e-14;0.44862378092110716;0
165;1li1_C;1m3d_L;False;-1.0;224;222;938;938;True;True;1li1_0_1_C_1.pdb;1li1_0_1_F_1.pdb;14;15;275;1li1_0_1_C_1.pdb;1li1_0_1_F_1.pdb;14;15;275;40806;0;0;0;2;40804;0;0;2;40804;9.572389999999999;1029.8;9.572389999999999;1029.8;0;0;0;2;0;0;0;2;4.473282487355096;6.077377008662125;4.473282487355096;6.077377008662125;0;0;1;1;0;0;1;1;0.0;0.1188118811881188;0.0;0.1188118811881188;0;40806;0.4482758620689655;0.5172413793103449;0;40806;0.4482758620689655;0.5172413793103449;8.370332729060176e-15;0.4344229468620131;8.370332729060176e-15;0.4344229468620131;0
166;1li1_F;1m3d_C;False;-1.0;225;222;938;938;True;True;1li1_0_1_F_1.pdb;1li1_0_1_C_1.pdb;15;14;275;1li1_0_1_F_1.pdb;1li1_0_1_C_1.pdb;15;14;275;43237;0;0;0;1;43236;0;0;1;43236;7.52528;1029.69;7.52528;1029.69;0;0;0;0;0;0;0;0;;;;;0;0;0;1;0;0;0;1;0.020833333333333332;0.020833333333333332;0.020833333333333332;0.020833333333333332;0;43237;0.4927536231884058;0.4927536231884058;0;43237;0.4927536231884058;0.4927536231884058;1.0215578520031093e-14;0.5053899307838956;1.0215578520031093e-14;0.5053899307838956;0
167;1li1_F;1m3d_F;False;-1.0;225;223;938;938;True;True;1li1_0_1_F_1.pdb;1li1_0_1_C_1.pdb;15;14;275;1li1_0_1_F_1.pdb;1li1_0_1_C_1.pdb;15;14;275;44757;0;0;0;1;44756;0;0;1;44756;8.84403;1032.57;8.84403;1032.57;0;0;0;0;0;0;0;0;;;;;0;0;1;0;0;0;1;0;0.21875;0.21875;0.21875;0.21875;0;44757;0.625;0.625;0;44757;0.625;0.625;1.0215578520031093e-14;0.4823800946074564;1.0215578520031093e-14;0.4823800946074564;0
168;1li1_F;1li1_F;False;0.78;225;225;938;938;True;True;1li1_0_1_F_1.pdb;1li1_0_1_C_1.pdb;15;14;275;1li1_0_1_F_1.pdb;1li1_0_1_C_1.pdb;15;14;275;44472;0;0;0;4;44468;0;0;4;44468;8.83404;1034.53;8.83404;1034.53;0;0;0;4;0;0;0;4;5.882612221260739;7.974658603516128;5.882612221260739;7.974658603516128;0;0;0;4;0;0;0;4;0.0;0.010416666666666666;0.0;0.010416666666666666;0;44472;0.2916666666666667;0.4166666666666667;0;44472;0.2916666666666667;0.4166666666666667;1.0215578520031093e-14;0.14758982499300088;1.0215578520031093e-14;0.14758982499300088;0
169;1h2k_A;1h2k_S;False;-1.0;332;24;1661;14750;True;True;1h2k_0_1_A_2.pdb;1h2k_0_1_S_2.pdb;45;21;823;1h2k_0_1_A_2.pdb;1h2k_0_1_S_2.pdb;45;21;823;15046;0;0;0;0;15046;0;0;0;15046;10.1977;1015.17;10.1977;1015.17;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;1.6045070308398916e-14;1.796961501731374e-14;1.6045070308398916e-14;1.796961501731374e-14;0
170;1fnt_B;1fnt_J;False;-1.0;247;204;1;48;True;True;1fnt_0_1_B_1.pdb;1fnt_0_1_J_1.pdb;11;12;198;1fnt_0_1_B_1.pdb;1fnt_0_1_J_1.pdb;11;12;198;3530;0;0;0;0;3530;0;0;0;3530;40.2222;99.8958;40.2222;99.8958;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;8.957087523950085e-15;1.1400298071584582e-14;8.957087523950085e-15;1.1400298071584582e-14;0
171;1ibc_A;1ibc_A;False;-1.0;167;167;2346;2346;True;True;1ibc_0_1_A_2.pdb;1ibc_0_1_A_1.pdb;7;7;66;1ibc_0_1_A_2.pdb;1ibc_0_1_A_1.pdb;7;7;66;93196;0;0;0;5;93191;0;0;5;93191;6.23226;1020.19;6.23226;1020.19;0;0;1;4;0;0;1;4;3.948302390064991;8.140395417793647;3.948302390064991;8.140395417793647;0;0;0;5;0;0;0;5;0.0;0.030303030303030304;0.0;0.030303030303030304;0;93196;0.03571428571428571;0.2857142857142857;0;93196;0.03571428571428571;0.2857142857142857;1.0360597177272205e-14;1.83890721784333e-14;1.0360597177272205e-14;1.83890721784333e-14;0
172;1ydi_A;1ydi_B;False;-1.0;256;24;2809;33609;True;True;1ydi_0_1_A_1.pdb;1ydi_0_1_B_1.pdb;40;20;558;1ydi_0_1_A_1.pdb;1ydi_0_1_B_1.pdb;40;20;558;65346;0;0;29;211;65106;0;29;211;65106;1.4375200000000001;1022.3;1.4375200000000001;1022.3;2;14;182;42;2;14;182;42;0.6083723467691801;4.225751817547675;0.6083723467691801;4.225751817547675;2;0;55;183;2;0;55;183;0.0;0.7135325131810193;0.0;0.7135325131810193;2;65344;0.006535947712418301;0.9150326797385621;2;65344;0.006535947712418301;0.9150326797385621;8.886067273390185e-15;6.428194466252732e-15;8.886067273390185e-15;6.428194466252732e-15;0
173;1efv_A;1efv_B;False;0.95;312;252;3290;3957;True;True;1efv_0_1_A_1.pdb;1efv_0_1_B_1.pdb;85;79;1880;1efv_0_1_A_1.pdb;1efv_0_1_B_1.pdb;85;79;1880;44426;0;0;0;0;44426;0;0;0;44426;14.617;298.286;14.617;298.286;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;1.2576020049025131e-14;1.3090231625632117e-14;1.2576020049025131e-14;1.3090231625632117e-14;0
174;1ef1_A;1ef1_A;False;0.85;289;289;1381;1381;True;True;1ef1_0_3_A_2.pdb;1ef1_0_3_A_1.pdb;17;17;209;1ef1_0_3_A_2.pdb;1ef1_0_3_A_1.pdb;17;17;209;94402;0;0;0;0;94402;0;0;0;94402;19.7758;1038.96;19.7758;1038.96;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;7.50456261162937e-15;8.330123595775313e-15;7.50456261162937e-15;8.330123595775313e-15;0
175;1ef1_A;1ef1_C;False;0.85;289;87;1381;24040;True;True;1ef1_0_3_A_2.pdb;1ef1_0_3_C_2.pdb;68;48;1380;1ef1_0_3_A_2.pdb;1ef1_0_3_C_2.pdb;68;48;1380;156945;0;0;0;0;156945;0;0;0;156945;14.6005;1015.55;14.6005;1015.55;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;7.50456261162937e-15;2.3139846306760887e-14;7.50456261162937e-15;2.3139846306760887e-14;0
176;1avo_B;1avo_B;False;0.9;140;140;9271;9271;True;True;1avo_0_1_B_1.pdb;1avo_0_1_D_1.pdb;32;39;691;1avo_0_1_B_1.pdb;1avo_0_1_D_1.pdb;32;39;691;3029;0;0;0;0;3029;0;0;0;3029;18.5248;181.71099999999998;18.5248;181.71099999999998;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;2.018558711031601e-14;0.12841783974599488;2.018558711031601e-14;0.12841783974599488;0
177;1avo_A;1avo_A;False;0.9;60;60;9270;9270;True;True;1avo_0_1_A_1.pdb;1avo_0_1_C_1.pdb;10;10;116;1avo_0_1_A_1.pdb;1avo_0_1_C_1.pdb;10;10;116;31186;0;0;0;0;31186;0;0;0;31186;12.4548;1030.75;12.4548;1030.75;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;1.7073675639494597e-14;0.31652362036646725;1.7073675639494597e-14;0.31652362036646725;0
178;1h2k_A;1h2k_A;False;-1.0;332;332;1661;1661;True;True;1h2k_0_1_A_2.pdb;1h2k_0_1_A_1.pdb;39;39;814;1h2k_0_1_A_2.pdb;1h2k_0_1_A_1.pdb;39;39;814;53521;0;0;0;1;53520;0;0;1;53520;9.81732;1056.62;9.81732;1056.62;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;;;;;0;53521;;;0;53521;;;1.6045070308398916e-14;1.4519574095591563e-14;1.6045070308398916e-14;1.4519574095591563e-14;0
179;1ibc_B;1ibc_B;False;-1.0;88;88;2361;2361;True;True;1ibc_0_1_B_2.pdb;1ibc_0_1_B_1.pdb;35;35;787;1ibc_0_1_B_2.pdb;1ibc_0_1_B_1.pdb;35;35;787;137227;0;0;0;12;137215;0;0;12;137215;8.5224;1018.63;8.5224;1018.63;0;0;0;12;0;0;0;12;5.546306947708245;6.485166494633334;5.546306947708245;6.485166494633334;0;0;9;3;0;0;9;3;0.03430749682337993;0.26429479034307496;0.03430749682337993;0.26429479034307496;0;137227;0.07303370786516854;0.47752808988764045;0;137227;0.07303370786516854;0.47752808988764045;4.968500440302464e-15;9.366551543107907e-15;4.968500440302464e-15;9.366551543107907e-15;0
180;1avo_A;1avo_B;False;0.9;60;140;9270;9271;True;True;1avo_0_1_A_1.pdb;1avo_0_1_B_1.pdb;37;45;777;1avo_0_1_A_1.pdb;1avo_0_1_B_1.pdb;37;45;777;10245;0;0;1;0;10244;0;1;0;10244;1.1664;347.401;1.1664;347.401;0;0;0;0;0;0;0;0;;;;;1;0;0;0;1;0;0;0;0.6537966537966537;0.6537966537966537;0.6537966537966537;0.6537966537966537;0;10245;0.7814207650273224;0.7814207650273224;0;10245;0.7814207650273224;0.7814207650273224;1.7073675639494597e-14;3.5781576952025216e-14;1.7073675639494597e-14;3.5781576952025216e-14;0
181;1atn_D;1atn_D;False;-1.0;258;258;5595;5595;True;True;3dni_0_1_A_2.pdb;3dni_0_1_A_1.pdb;14;14;297;3dni_0_1_A_2.pdb;3dni_0_1_A_1.pdb;14;14;297;5792;0;0;0;5;5787;0;0;5;5787;5.74669;1042.65;5.74669;1042.65;0;0;2;3;0;0;2;3;3.075552228801001;7.25021569669406;3.075552228801001;7.25021569669406;0;0;0;5;0;0;0;5;0.0;0.0;0.0;0.0;0;5792;0.0;0.0;0;5792;0.0;0.0;0.4663273965173549;0.46632739651735494;0.4663273965173549;0.46632739651735494;0
182;1h6v_A;1h6v_B;False;-1.0;490;487;162;162;True;True;1h6v_0_1_A_1.pdb;1h6v_0_1_B_1.pdb;85;91;2017;1h6v_0_1_A_1.pdb;1h6v_0_1_B_1.pdb;85;91;2017;151922;0;2;0;0;151920;2;0;0;151920;0.683978;1037.16;0.683978;1037.16;2;0;0;0;2;0;0;0;0.3636204220520776;0.3636206933972053;0.3636204220520776;0.3636206933972053;2;0;0;0;2;0;0;0;0.9167079821517105;0.9167079821517105;0.9167079821517105;0.9167079821517105;2;151920;0.9671772428884027;0.9671772428884027;2;151920;0.9671772428884027;0.9671772428884027;1.9164126936348457e-14;7.550765283890939e-15;1.9164126936348457e-14;7.550765283890939e-15;0
183;1atn_A;3byh_A;False;-1.0;371;374;28;28;True;True;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;10;9;79;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;10;9;79;52012;0;0;0;1;52011;0;0;1;52011;8.88824;1048.48;8.88824;1048.48;0;0;0;0;0;0;0;0;;;;;0;0;0;1;0;0;0;1;0.0;0.0;0.0;0.0;0;52012;0.0;0.0;0;52012;0.0;0.0;1.709262242519102;3.9193808344445307;1.709262242519102;3.9193808344445307;0
184;3d0g_A;3d0g_E;False;-1.0;597;173;535;3516;True;True;3d0g_0_1_A_1.pdb;3d0g_0_1_E_1.pdb;23;24;450;3d0g_0_1_A_1.pdb;3d0g_0_1_E_1.pdb;23;24;450;42920;0;0;2;7;42911;0;2;7;42911;2.03851;117.835;2.03851;117.835;0;2;1;6;0;2;1;6;1.1756358728601133;8.506260026091459;1.1756358728601133;8.506260026091459;2;1;0;6;2;1;0;6;0.0;0.7866666666666666;0.0;0.7866666666666666;2;42918;0.25510204081632654;0.9591836734693877;2;42918;0.25510204081632654;0.9591836734693877;1.3580235715482268e-14;1.4100296320862386e-14;1.3580235715482268e-14;1.4100296320862386e-14;0
185;3d85_B;3d85_B;False;-1.0;216;216;0;0;True;False;5n09_0_1_H_1.pdb;5n09_0_1_I_1.pdb;4;5;44;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;9.64232171670084;9.863838795529212;-1.0;-1.0;0
186;2z3q_C;3d85_B;False;-1.0;117;216;5105;0;True;False;2xqb_0_1_A_1.pdb;2xqb_0_1_H_1.pdb;19;12;385;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;1.0267677872587493;8.633246705996372;-1.0;-1.0;0
187;3bt2_U;3bt2_U;False;-1.0;259;259;3413;3413;True;True;1ywh_0_2_A_1.pdb;1ywh_0_2_C_1.pdb;14;14;124;1ywh_0_2_A_1.pdb;1ywh_0_2_C_1.pdb;14;14;124;5384;0;0;0;0;5384;0;0;0;5384;20.288;1037.66;20.288;1037.66;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;3.6871804597417035;3.994149163107874;3.6871804597417035;3.994149163107874;0
188;3d48_R;3d48_R;False;0.93;195;195;4414;4414;True;False;3ew3_0_1_B_1.pdb;3ew3_0_1_C_1.pdb;16;14;324;-;-;0;0;0;14132;0;0;1;5;14126;0;0;0;0;4.699;1040.62;-1.0;-1.0;0;0;1;5;0;0;0;0;3.073930855050298;4.34283529343287;-1.0;-1.0;0;0;0;6;0;0;0;0;0.0;0.0;-1.0;-1.0;0;14132;0.0;0.0;0;0;-1.0;-1.0;1.454970690065284;2.6169874860654985;-1.0;-1.0;0
189;3d0g_E;3d0g_E;False;-1.0;173;173;3516;3516;True;True;2ghv_0_1_E_1.pdb;2ghv_0_1_C_1.pdb;24;24;657;2ghv_0_1_E_1.pdb;2ghv_0_1_C_1.pdb;24;24;657;11564;0;0;0;1;11563;0;0;1;11563;7.593039999999999;1030.14;7.593039999999999;1030.14;0;0;0;0;0;0;0;0;;;;;0;0;0;1;0;0;0;1;0.0;0.0;0.0;0.0;0;11564;0.0;0.0;0;11564;0.0;0.0;2.910401558115359;2.8750757335275834;2.910401558115359;2.8750757335275834;0
190;2odb_A;2odb_A;False;0.89;177;177;230;230;True;True;2odb_0_4_A_2.pdb;2odb_0_4_A_1.pdb;23;23;228;2odb_0_4_A_2.pdb;2odb_0_4_A_1.pdb;23;23;228;4430;0;0;0;0;4430;0;0;0;4430;25.7824;1030.85;25.7824;1030.85;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;5.726754357184728e-15;1.70846379080631e-14;5.726754357184728e-15;1.70846379080631e-14;0
191;1h6v_C;1h6v_C;False;-1.0;482;482;162;162;True;True;1h6v_0_2_C_1.pdb;1h6v_0_2_D_1.pdb;77;82;1920;1h6v_0_2_C_1.pdb;1h6v_0_2_D_1.pdb;77;82;1920;154909;0;0;0;1;154908;0;0;1;154908;8.74114;1036.92;8.74114;1036.92;0;0;0;0;0;0;0;0;;;;;0;0;0;1;0;0;0;1;0.0;0.0;0.0;0.0;0;154909;0.178743961352657;0.178743961352657;0;154909;0.178743961352657;0.178743961352657;5.280078107613989e-15;0.4749047231952721;5.280078107613989e-15;0.4749047231952721;0
192;1h6v_B;1h6v_B;False;-1.0;487;487;162;162;True;True;1h6v_0_1_B_1.pdb;1h6v_0_1_A_1.pdb;91;85;2017;1h6v_0_1_B_1.pdb;1h6v_0_1_A_1.pdb;91;85;2017;141066;0;0;0;1;141065;0;0;1;141065;9.893889999999999;1036.35;9.893889999999999;1036.35;0;0;0;0;0;0;0;0;;;;;0;0;0;1;0;0;0;1;0.009244992295839754;0.009244992295839754;0.009244992295839754;0.009244992295839754;0;141066;0.14563106796116504;0.14563106796116504;0;141066;0.14563106796116504;0.14563106796116504;8.7375227727074e-15;0.27539647464622313;8.7375227727074e-15;0.27539647464622313;0
193;1h6v_E;1h6v_E;False;-1.0;491;491;162;162;True;True;1h6v_0_3_E_1.pdb;1h6v_0_3_F_1.pdb;93;91;2150;1h6v_0_3_E_1.pdb;1h6v_0_3_F_1.pdb;93;91;2150;139231;0;0;0;3;139228;0;0;3;139228;7.79811;1036.74;7.79811;1036.74;0;0;0;3;0;0;0;3;4.465772452131281;6.614000228650424;4.465772452131281;6.614000228650424;0;0;1;2;0;0;1;2;0.0;0.2510176390773406;0.0;0.2510176390773406;0;139231;0.1;0.3173913043478261;0;139231;0.1;0.3173913043478261;7.271375059620749e-15;0.18582199733234422;7.271375059620749e-15;0.18582199733234422;0
194;1h6v_B;1h6v_E;False;-1.0;487;491;162;162;True;True;1h6v_0_1_B_1.pdb;1h6v_0_1_A_1.pdb;91;85;2017;1h6v_0_1_B_1.pdb;1h6v_0_1_A_1.pdb;91;85;2017;138713;0;0;0;1;138712;0;0;1;138712;6.0045;1032.64;6.0045;1032.64;0;0;0;0;0;0;0;0;;;;;0;1;0;0;0;1;0;0;0.300709219858156;0.300709219858156;0.300709219858156;0.300709219858156;0;138713;0.35909090909090907;0.35909090909090907;0;138713;0.35909090909090907;0.35909090909090907;8.7375227727074e-15;0.20023666519631297;8.7375227727074e-15;0.20023666519631297;0
195;2pjy_B;2pjy_C;False;0.96;108;79;5459;9354;True;True;2pjy_0_1_B_2.pdb;2pjy_0_1_C_2.pdb;10;13;219;2pjy_0_1_B_2.pdb;2pjy_0_1_C_2.pdb;10;13;219;30051;0;0;0;3;30048;0;0;3;30048;8.0005;1030.16;8.0005;1030.16;0;0;0;3;0;0;0;3;6.124052532051188;6.17563140627167;6.124052532051188;6.17563140627167;0;0;0;3;0;0;0;3;0.0730593607305936;0.0867579908675799;0.0730593607305936;0.0867579908675799;0;30051;0.3492063492063492;0.5714285714285714;0;30051;0.3492063492063492;0.5714285714285714;8.205282789582796e-15;7.261018458922831e-15;8.205282789582796e-15;7.261018458922831e-15;0
196;3d0g_A;3d0g_A;False;-1.0;597;597;535;535;True;True;3d0g_0_1_A_1.pdb;3d0g_0_1_B_1.pdb;2;6;36;3d0g_0_1_A_1.pdb;3d0g_0_1_B_1.pdb;2;6;36;164577;0;0;0;0;164577;0;0;0;164577;10.2745;1063.3;10.2745;1063.3;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;1.3580235715482268e-14;2.1201977300159043;1.3580235715482268e-14;2.1201977300159043;0
197;1h6v_C;1h6v_E;False;-1.0;482;491;162;162;True;True;1h6v_0_2_C_1.pdb;1h6v_0_2_D_1.pdb;77;82;1920;1h6v_0_2_C_1.pdb;1h6v_0_2_D_1.pdb;77;82;1920;148538;0;1;0;3;148534;1;0;3;148534;0.477736;1037.32;0.477736;1037.32;1;0;1;2;1;0;1;2;0.3042334032491803;5.492532053690748;0.3042334032491803;5.492532053690748;1;1;0;2;1;1;0;2;0.01337295690936107;0.9212481426448736;0.01337295690936107;0.9212481426448736;1;148537;0.1111111111111111;0.9516908212560387;1;148537;0.1111111111111111;0.9516908212560387;5.280078107613989e-15;0.2573136627723197;5.280078107613989e-15;0.2573136627723197;0
198;1h6v_A;1h6v_E;False;-1.0;490;491;162;162;True;True;1h6v_0_1_A_1.pdb;1h6v_0_1_B_1.pdb;85;91;2017;1h6v_0_1_A_1.pdb;1h6v_0_1_B_1.pdb;85;91;2017;149098;0;0;0;1;149097;0;0;1;149097;8.02004;1034.58;8.02004;1034.58;0;0;0;0;0;0;0;0;;;;;0;0;0;1;0;0;0;1;0.01903367496339678;0.01903367496339678;0.01903367496339678;0.01903367496339678;0;149098;0.18981481481481483;0.18981481481481483;0;149098;0.18981481481481483;0.18981481481481483;1.9164126936348457e-14;0.3250376343262454;1.9164126936348457e-14;0.3250376343262454;0
199;2e9w_A;2e9w_C;False;0.9;468;132;16452;6090;True;True;2e9w_0_1_A_1.pdb;2e9w_0_1_C_1.pdb;25;25;390;2e9w_0_1_A_1.pdb;2e9w_0_1_C_1.pdb;25;25;390;1942;0;0;0;0;1942;0;0;0;1942;62.4849;150.276;62.4849;150.276;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;1.1300810901086448e-14;1.926684769828031e-14;1.1300810901086448e-14;1.926684769828031e-14;0
